comm,size
0,3
2,1
3,1
4,5
5,3
6,4
7,7
8,4
9,4
10,3
11,3
12,4
13,3
14,1
16,4
17,3
18,4
19,4
20,3
21,6
22,12
24,4
25,4
26,4
27,5
28,9
31,17
32,29
34,12
36,12
37,22
38,5
39,6
40,5
41,17
42,6
43,6
44,3
45,3
46,16
47,17
48,13
49,1
51,25
52,20
53,9
54,26
56,6
60,1
61,14
62,13
66,1
67,5
68,8
69,5
70,10
73,17
74,2
76,9
78,1
80,7
81,6
82,16
85,10
86,14
89,1
90,10
92,13
93,22
94,21
97,14
98,21
99,4
101,18
102,4
103,5
104,5
106,1
107,15
108,14
109,6
112,15
113,3
114,10
115,9
117,3
118,14
120,10
123,3
125,13
126,3
127,3
128,4
130,3
131,1
133,2
135,3
137,1
138,1
140,3
141,1
143,3
145,9
146,6
147,6
152,1
153,3
155,5
156,1
157,4
159,6
160,9
162,4
163,5
167,7
169,1
174,5
175,6
176,5
177,6
179,11
182,4
183,2
187,1
191,5
198,1
203,3
208,1
210,1
211,2
213,1
215,2
216,1
217,1
219,2
220,2
221,1
222,1
224,1
225,1
226,1
229,2
230,1
231,2
232,1
233,4
234,2
235,2
236,1
237,1
239,1
240,1
241,2
242,1
246,1
250,2
251,1
254,1
255,1
256,1
257,1
258,1
260,1
262,1
263,1
265,1
266,1
268,1
269,1
270,1
271,1
272,1
274,1
275,1
276,1
278,1
281,1
283,1
284,1
285,1
287,1
288,1
289,1
294,1
295,1
299,1
303,1
304,1
400,1
401,1
402,1
403,1
404,1
