comm,size
0,1
2,1
4,3
5,3
6,3
7,4
8,7
9,4
10,4
11,3
12,3
13,3
14,4
16,4
17,3
18,7
19,4
20,3
22,7
23,28
24,7
25,2
26,1
27,4
29,4
30,5
31,1
34,17
35,22
36,12
38,12
39,5
40,6
41,2
42,16
43,13
45,13
46,20
47,26
51,1
52,14
54,6
55,8
56,11
57,5
58,6
60,2
61,10
64,7
65,12
68,11
69,10
70,14
72,8
73,1
74,1
75,13
76,14
77,22
78,17
81,23
82,1
83,5
84,4
85,9
86,4
87,5
88,5
89,19
90,11
91,14
92,6
94,9
95,18
96,4
97,10
98,9
100,12
102,10
104,3
105,3
106,4
108,3
109,3
110,2
112,3
114,4
116,3
117,1
119,3
121,5
122,8
123,4
124,1
125,5
126,7
128,2
129,3
131,13
133,4
134,4
135,5
136,7
139,9
141,3
142,9
143,5
144,6
145,5
147,7
148,3
149,8
150,11
151,3
152,14
154,1
160,1
161,6
163,6
164,3
165,6
168,4
169,2
170,5
175,8
177,1
180,4
181,1
185,4
186,1
187,1
189,1
192,1
194,1
196,1
197,1
198,4
199,1
201,3
202,1
203,2
204,1
206,1
207,1
210,2
212,2
213,1
215,1
217,1
218,1
220,2
222,2
223,1
224,1
225,1
227,2
228,2
229,1
232,1
234,1
237,2
238,1
239,1
240,1
241,2
242,1
243,1
244,2
245,1
246,1
247,2
248,1
249,1
250,1
253,1
254,1
255,1
256,1
257,1
259,1
260,1
263,2
264,1
265,1
266,1
268,1
269,1
270,1
271,1
272,1
273,1
275,1
277,1
281,1
282,1
284,1
285,1
286,1
289,1
290,1
291,1
297,1
299,1
300,1
301,1
302,1
305,1
309,1
318,1
321,1
333,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
