comm,size
2,3
3,4
4,4
5,4
6,3
7,3
9,4
10,3
11,4
12,7
13,14
14,28
15,2
16,20
17,4
18,4
19,11
20,5
22,5
24,3
25,18
26,5
27,5
28,2
29,3
30,13
31,13
33,7
34,15
36,26
42,6
43,5
44,8
45,6
46,9
49,1
50,5
51,9
52,8
53,10
54,14
55,33
58,1
59,9
60,12
61,22
64,7
65,6
66,4
67,15
69,11
70,4
71,13
72,13
73,19
74,6
75,14
78,18
79,6
80,10
81,1
83,12
86,1
87,1
88,3
89,3
90,11
91,3
93,3
95,3
96,3
97,1
98,2
99,3
101,10
102,3
103,9
104,7
105,3
107,1
109,6
110,7
112,3
114,7
117,6
118,14
120,25
121,12
122,4
123,4
125,18
126,26
128,9
129,6
133,11
136,1
137,4
138,3
139,2
140,4
144,6
145,7
147,4
148,1
150,2
151,4
155,2
156,6
157,3
160,2
162,1
163,1
164,8
165,1
167,5
177,1
179,1
181,1
184,1
185,4
188,1
190,3
193,1
195,1
197,1
199,3
200,3
201,6
203,1
204,1
205,4
206,1
209,1
211,1
212,1
213,1
214,1
215,1
216,2
217,2
218,1
220,2
221,2
222,1
223,2
224,2
225,1
226,1
227,1
228,1
229,1
230,2
231,1
233,2
234,1
235,2
236,2
237,1
238,1
239,2
240,2
241,2
242,1
243,1
246,1
247,1
248,1
250,1
251,1
253,1
255,1
256,2
257,1
259,1
260,1
262,2
263,1
264,1
265,1
266,1
267,1
268,1
269,1
271,1
273,1
274,1
276,1
278,1
279,1
280,1
281,1
282,1
283,1
285,1
286,1
289,1
290,1
291,1
292,1
293,1
296,1
297,1
298,1
301,1
302,1
303,1
305,1
306,1
310,1
311,1
312,1
318,1
321,1
326,1
328,1
333,1
338,1
343,1
344,1
349,1
381,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
