comm,size
0,3
2,1
4,3
5,3
6,4
7,7
8,4
9,4
10,3
11,3
12,3
13,4
15,12
17,4
18,3
19,7
20,4
21,3
23,7
24,28
25,7
26,2
27,10
28,4
29,15
30,4
31,5
32,1
34,20
35,23
36,13
38,12
40,18
41,5
42,6
43,2
44,15
45,13
47,20
48,26
51,1
53,1
54,14
56,6
57,8
58,11
59,4
61,2
62,11
63,13
65,7
67,11
68,10
69,14
70,1
71,6
72,1
73,1
74,10
75,13
76,22
80,28
82,11
83,5
84,4
85,3
87,4
88,5
89,5
90,5
91,19
92,16
93,15
94,14
96,6
98,9
99,6
100,18
101,1
102,10
103,9
106,10
108,3
109,3
110,4
112,3
113,3
114,3
115,2
116,1
117,4
118,3
120,4
121,1
122,3
123,1
125,3
127,5
128,1
134,3
136,2
138,6
139,19
141,9
144,3
146,4
147,5
149,7
151,11
153,2
154,4
155,3
156,10
157,3
162,12
163,1
164,6
166,1
167,1
169,6
171,6
172,4
173,2
174,4
179,2
181,1
182,1
185,3
189,3
190,4
191,3
192,1
193,1
198,1
200,1
202,1
205,1
207,1
208,4
212,4
213,5
214,2
217,1
220,1
223,2
225,1
226,1
228,2
229,2
230,1
232,1
234,1
237,2
238,1
239,1
240,1
241,1
242,2
243,1
244,1
245,2
246,1
247,1
249,1
252,1
253,1
254,1
255,1
256,1
257,2
259,1
260,1
263,2
264,1
265,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
279,1
280,1
281,1
283,1
286,1
288,1
289,1
290,1
294,1
297,1
298,1
300,1
301,1
306,1
307,1
309,1
313,1
315,1
327,1
328,1
330,1
338,1
354,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
