comm,size
2,3
3,3
4,4
5,4
6,4
7,3
8,3
10,4
11,3
12,4
13,7
14,6
15,8
16,28
17,15
18,12
19,3
20,4
21,4
22,11
23,5
24,1
27,3
28,17
29,5
30,5
31,2
32,12
34,8
35,20
36,26
38,14
41,6
42,6
43,8
44,6
45,4
46,10
49,1
50,4
51,9
52,10
53,14
54,29
57,1
58,9
59,18
60,12
61,22
64,4
65,5
67,9
68,8
69,5
70,4
71,9
72,15
73,19
74,18
79,7
80,6
81,10
82,1
83,13
86,12
87,1
88,4
89,3
90,3
91,3
93,3
95,3
96,2
98,3
100,10
101,3
102,3
103,8
104,3
106,1
108,8
110,9
112,3
113,18
116,8
117,6
118,19
120,13
121,4
122,3
123,5
124,4
125,4
127,6
130,9
131,7
133,9
134,2
135,7
136,13
138,8
140,7
143,1
144,10
145,6
147,4
148,7
150,1
152,2
156,3
157,3
160,5
162,1
164,1
165,1
166,5
168,1
169,10
173,1
177,1
178,2
179,1
180,1
182,4
185,1
187,3
190,3
191,3
192,2
194,1
195,1
197,1
199,2
200,1
202,1
203,1
204,1
205,1
206,3
208,2
209,1
215,1
216,1
218,1
219,1
220,2
222,2
223,1
224,2
225,1
226,1
227,2
228,2
229,1
230,1
231,1
232,3
233,1
235,2
236,1
237,2
238,2
239,1
241,2
242,1
243,2
244,1
245,1
247,2
248,2
249,1
250,1
251,1
252,1
253,1
254,1
255,1
257,1
258,2
259,1
260,1
262,1
265,2
266,1
268,2
269,1
270,1
272,1
275,1
276,1
277,1
278,1
279,1
280,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
292,1
293,1
296,1
297,1
298,1
299,1
300,1
302,1
303,1
304,1
306,1
307,1
309,1
310,1
311,1
313,1
315,1
316,1
317,1
318,1
319,1
320,1
322,1
323,1
324,1
333,1
336,1
340,1
434,1
435,1
436,1
437,1
