comm,size
0,21
14,28
26,3
29,5
76,10
92,41
126,35
135,6
146,3
153,2
163,33
165,28
184,24
233,30
266,13
268,8
279,22
302,4
324,6
326,6
353,14
370,34
374,19
382,6
403,37
424,2
435,2
441,56
446,5
466,5
509,64
512,29
523,10
527,3
534,2
542,4
592,6
596,4
602,4
608,15
670,9
688,4
692,3
701,31
704,43
724,3
728,59
771,74
817,30
823,23
828,17
848,21
856,4
866,4
890,6
894,2
908,2
940,5
949,5
950,3
967,3
