comm,size
27,3
31,8
41,56
42,10
72,11
78,13
88,50
99,32
111,31
142,37
154,23
169,17
183,24
191,2
196,27
213,32
226,38
230,9
246,33
272,21
277,22
300,21
306,4
325,12
337,48
345,3
352,6
418,43
421,20
476,23
481,5
497,52
536,3
540,4
585,4
587,4
597,20
600,6
647,4
669,7
679,2
683,2
716,6
782,75
808,58
817,49
866,4
902,2
911,4
933,5
943,5
