graph,modularity
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.03940701820228936
6,0.03524687685901249
7,0.03121748178980229
8,0.0272512883221242
9,0.024983563445101904
10,0.023064046128092257
11,0.021116919414109002
12,0.019728841043196253
13,0.0183984375
14,0.01743636427295963
15,0.016478886426765708
16,0.01554016620498615
17,0.014702606371129428
18,0.013886133703630232
19,0.01327193388163848
20,0.012656147271531887
21,0.011950442247658689
22,0.011405325443786982
23,0.010947563350172246
24,0.01045179527871454
25,0.009998979695949393
26,0.009614478273164294
27,0.009287109375
28,0.008901358958729247
29,0.008644875608436993
30,0.008426357646718936
31,0.008196161464380848
32,0.007999479708636835
33,0.007771543878545767
34,0.007537253645249159
35,0.007370600921478287
36,0.007159532174556213
37,0.006992660186470938
38,0.006771694214876033
39,0.006622222222222222
40,0.006451340866925282
41,0.006315534329215743
42,0.006159927600573731
43,0.006035994689308135
44,0.005893702448093237
45,0.005735946745562131
46,0.00563891638466129
47,0.005534883881027533
48,0.005454381385586664
49,0.005318996825759959
50,0.005226336565033232
51,0.01021166611934697
52,0.005016594873243415
53,0.004942217446603219
54,0.004838595283814347
55,0.004769365819800141
56,0.004679386547518416
57,0.0045863905325443785
58,0.004517332415059688
59,0.004443731246154837
60,0.004385272491349481
61,0.004315878537575317
62,0.0042366469201962804
63,0.004195176857143422
64,0.0041259428881887175
65,0.00407549867120547
66,0.004015495001349518
67,0.003940259231264522
68,0.0038955715834179793
69,0.0038456364916569243
70,0.003792165897873481
71,0.003735504800274436
72,0.00368956470852477
73,0.0036447408242280036
74,0.003596675860066773
75,0.00355406746031746
76,0.0035165739226221938
77,0.0034758314687598677
78,0.003432091425551592
79,0.006686640442535421
80,0.006605683427673428
81,0.006498394613938842
82,0.006435677635857054
83,0.006367396514565993
84,0.009357999227951738
85,0.009252213480990106
86,0.009102455096184504
87,0.016981844276405027
88,0.016780765073337412
89,0.016583252889779958
90,0.022235789674342248
91,0.021958484122461788
92,0.021730363712638427
93,0.021527054440300685
94,0.02132751276617794
95,0.023900885662006315
96,0.0236223482221258
97,0.026051166572840435
98,0.027653887051039695
99,0.0273498220732005
100,0.02441479930586992
101,0.02682536477901311
102,0.028268998109640828
103,0.027120838900228404
104,0.029426485748232364
105,0.026668892668080996
106,0.028885844992689265
107,0.02864479145721178
108,0.028412315333543114
109,0.030603805903342118
110,0.030335129199950617
111,0.032454172310046416
112,0.035194627199911024
113,0.034185958436592966
114,0.0362063531095602
115,0.03586924269991171
116,0.035643609087812514
117,0.035372916945948754
118,0.035030274334251606
119,0.03623636158064334
120,0.03806816064897532
121,0.037793278463648834
122,0.03960566434003721
123,0.039309859199823195
124,0.04113201362061475
125,0.042930656770675236
126,0.04047415812869645
127,0.04015137233074787
128,0.04391474727145761
129,0.04487627739323646
130,0.04649726516052318
131,0.04614571606463464
132,0.0456984774490089
133,0.04671600685494267
134,0.04635890729360997
135,0.0453429873842452
136,0.04686016376169324
137,0.04968301950389269
138,0.05366110227015755
139,0.05574616059092359
140,0.05722804408806465
141,0.05683571114089441
142,0.05828923558976956
143,0.061511461987059694
144,0.0629285430071525
145,0.06377335160885278
146,0.06643105325443785
147,0.0689876627425722
148,0.0683915480256996
149,0.06993428511801764
150,0.06883030025190617
151,0.07244340551094025
152,0.07028500402646967
153,0.0727222951838512
154,0.07214585309550296
155,0.06834414811598598
156,0.06792480946054229
157,0.07017194601674943
158,0.07693077169109476
159,0.07660020360379362
160,0.07781137284943664
161,0.08212466988087179
162,0.08313766790896042
163,0.08528780586132814
164,0.08361099541857561
165,0.08634353450509148
166,0.08993310493293082
167,0.08883912274379675
168,0.09127828191746495
169,0.09064504899716905
170,0.09379744539583988
171,0.09720937382034858
172,0.10101405817174515
173,0.0993196596917071
174,0.09494481525732329
175,0.09729388708421705
176,0.10145930180866736
177,0.09745541300641626
178,0.10014373676747661
179,0.10370608161848982
180,0.1054738340915255
181,0.09951468750000003
182,0.10143672186332023
183,0.10766418219775974
184,0.10743053322044142
185,0.11359814204861972
186,0.11031855127544828
187,0.11327546249656774
188,0.1105647782673982
189,0.10330469437399716
190,0.10039536918217071
191,0.10229202993434541
192,0.10398351413237907
193,0.10221320197209524
194,0.10157766585976243
195,0.10520023040358313
196,0.1047804072522644
197,0.10418558196740511
198,0.1050991026703288
199,0.10464273601876516
200,0.10419138429460652
201,0.1037401865968246
202,0.10462969366647519
203,0.10418028447880158
204,0.10369433763186889
205,0.10589162948626316
206,0.10671167969767463
207,0.10737786710856247
208,0.10855699717773286
209,0.11832983699845677
210,0.11785856486651845
211,0.12398046204982209
212,0.12685401529825602
213,0.11695253708255822
214,0.11960525301439513
215,0.11990109513964406
216,0.12110140379374805
217,0.12457921130529581
218,0.12896006673553448
219,0.12675938382259577
220,0.12389418209847226
221,0.12421170542160935
222,0.127282975309628
223,0.12798959462223988
224,0.12829728569457716
225,0.12779896511902075
226,0.1292473508491799
227,0.13316724000000002
228,0.13720409199853972
229,0.13815623150691042
230,0.13763308326407764
231,0.13701313640925997
232,0.13633244925361518
233,0.13693256052202527
234,0.13642078553325546
235,0.13596688356892556
236,0.13605898668639055
237,0.13371803473573285
238,0.13298246166948616
239,0.13564467078994552
240,0.13505370234611982
241,0.13461300302114124
242,0.13407332707331762
243,0.13051352374142536
244,0.13680896214462207
245,0.13436524103459666
246,0.13927696952626772
247,0.14516984466710967
248,0.14441534138666662
249,0.14497772409509815
250,0.14682046501823118
251,0.14924465924809271
252,0.14860798402018532
253,0.1498050802887555
254,0.1499306073304137
255,0.14954321788789765
256,0.15039961597375887
257,0.1509913626610046
258,0.1517255255975834
259,0.15180510926438912
260,0.15310002934128802
261,0.1515454539936143
262,0.15318519121334886
263,0.15409906315218597
264,0.1490476457928918
265,0.15193359455329403
266,0.1491152186151248
267,0.14790314971636248
268,0.15033527222833473
269,0.14983710966024294
270,0.15134882763198876
271,0.15161611305996656
272,0.1520150275858223
273,0.15473692088907198
274,0.15517619797560497
275,0.15593016559761766
276,0.15625825010362257
277,0.1588496182554949
278,0.1577335135280799
279,0.15905828802748048
280,0.159580915685358
281,0.1587090796496848
282,0.15942513007284087
283,0.16406218639614678
284,0.16415180707647772
285,0.16469410471804194
286,0.1583414634836354
287,0.15742315716867655
288,0.15840934118625583
289,0.1596779694851011
290,0.1609876178922026
291,0.16141752986543856
292,0.16116628719687318
293,0.16346375408563305
294,0.16238121094345379
295,0.1633999763313609
296,0.16320688584440507
297,0.16139361874630115
298,0.16289376777525402
299,0.16479406910468852
300,0.16577276827852658
301,0.16523956420948716
302,0.16879957401479398
303,0.1672091371149915
304,0.16445964369676644
305,0.16054824561209158
306,0.16218634690901085
307,0.1632355921263255
308,0.16271645602438778
309,0.16216591695501728
310,0.16293090771004257
311,0.16394413160649862
312,0.1608895905804165
313,0.16205051944434334
