comm,size
0,3
2,1
3,1
4,5
5,3
6,4
7,7
8,4
9,4
10,3
11,3
12,4
13,3
14,3
15,2
16,1
17,5
18,4
19,3
20,4
21,4
22,3
23,6
25,8
26,4
27,4
28,5
29,9
32,17
33,28
34,13
35,22
36,5
37,6
38,5
39,17
40,6
41,16
42,6
43,8
44,3
45,1
46,14
47,17
48,13
51,25
52,20
53,9
54,26
56,1
57,7
58,15
60,14
63,1
64,14
68,2
69,5
70,10
71,8
73,7
74,5
77,2
81,7
82,17
85,10
86,14
89,1
90,10
91,10
93,13
94,21
97,1
99,14
100,9
101,22
102,4
104,18
105,3
106,5
107,5
108,1
109,14
110,6
113,5
114,10
115,9
117,1
118,14
119,9
122,3
124,13
125,3
126,3
127,4
129,3
130,2
133,3
137,3
138,1
139,2
140,2
141,3
143,9
144,5
145,6
150,1
151,3
152,5
153,1
154,3
155,2
156,4
158,4
160,8
163,8
164,9
165,3
166,4
167,5
168,5
170,1
171,6
174,4
181,6
182,1
183,5
184,3
187,1
189,4
190,4
191,2
192,5
195,1
197,1
200,1
204,1
208,1
209,1
211,1
212,1
213,1
215,2
216,1
217,1
219,1
220,2
221,2
222,1
224,2
225,2
227,1
229,1
230,1
231,1
232,1
233,1
234,1
237,2
238,1
239,1
240,2
241,1
242,4
243,1
244,2
245,2
246,1
247,1
249,1
251,1
252,2
253,1
257,1
258,1
261,1
262,1
264,1
268,1
269,1
270,1
273,1
274,1
275,1
277,1
278,1
280,1
281,1
282,1
285,1
286,1
287,1
289,1
290,1
291,1
293,1
294,1
295,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
307,1
309,1
310,1
311,1
313,1
314,1
316,1
317,1
318,1
377,1
