comm,size
1,1
3,3
4,4
5,7
6,4
7,4
8,3
9,3
10,3
13,4
14,3
15,7
16,4
17,3
19,12
20,9
21,28
22,1
23,4
24,6
25,4
26,5
27,1
28,6
30,17
31,22
32,12
34,5
35,17
36,5
37,6
38,2
39,12
40,3
42,8
44,20
45,26
49,1
50,14
52,6
53,6
54,8
55,4
56,2
58,6
60,10
63,1
64,7
65,10
66,14
67,15
68,10
70,1
71,12
72,13
73,14
74,22
78,31
80,4
81,9
82,13
83,5
84,5
86,19
87,18
88,6
90,18
91,11
92,4
93,4
94,6
95,10
96,9
99,1
101,12
102,4
103,3
104,3
106,4
108,3
109,3
110,2
112,3
114,10
116,3
117,1
118,3
120,3
122,1
123,5
125,3
126,3
127,12
130,8
132,13
134,21
135,4
136,4
137,8
141,6
143,16
144,5
145,6
146,5
148,3
149,11
150,9
151,3
152,8
153,13
154,4
155,6
163,6
164,3
165,1
169,4
170,2
171,5
173,3
176,3
177,2
182,1
183,1
186,1
191,2
192,1
193,1
196,1
197,4
199,1
201,4
203,1
208,1
211,1
212,2
215,1
218,1
219,1
221,2
223,2
224,1
225,1
226,1
228,1
229,2
230,2
231,1
235,1
238,2
239,2
240,1
241,2
242,1
244,2
245,1
246,2
247,1
248,1
251,1
252,1
253,1
254,1
255,1
256,1
258,1
261,2
262,1
264,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
280,1
282,1
283,1
289,1
291,1
292,1
293,1
294,1
296,1
298,1
299,1
301,1
302,1
303,1
304,1
305,1
306,1
313,1
315,1
326,1
330,1
336,1
345,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
