comm,size
1,15
20,25
21,3
26,3
29,5
45,38
74,14
102,22
117,45
120,5
136,27
151,38
152,22
160,20
168,23
235,28
245,34
249,10
255,10
271,3
284,70
308,59
313,9
319,4
342,24
344,48
394,6
421,3
423,28
438,8
453,8
462,14
494,24
509,25
525,9
531,5
543,3
586,4
592,8
595,37
673,4
677,7
684,2
689,7
693,3
720,40
726,3
754,78
766,2
824,49
906,2
936,5
970,9
997,3
