comm_from,comm_to
25,853
29,29
35,410
80,853
91,141
122,673
127,120
155,294
160,644
170,210
187,106
208,748
231,141
237,934
273,3
283,207
323,323
331,313
341,439
351,473
360,344
393,385
406,619
462,452
467,956
472,815
493,489
503,95
524,81
526,81
533,439
578,749
592,583
596,589
610,829
629,207
638,641
676,125
688,684
694,689
696,17
815,815
823,748
845,166
867,866
869,89
903,904
905,210
968,17
