comm,size
18,25
22,5
29,8
55,74
66,25
95,23
116,101
156,38
173,23
222,32
224,3
254,20
261,27
272,134
281,6
329,9
333,2
334,2
343,40
362,68
458,8
463,10
491,24
542,3
544,7
561,49
564,35
577,86
585,2
586,2
590,4
597,9
604,32
690,4
720,11
765,38
855,3
869,4
907,2
908,2
